,Year,Entity,Code,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Solar Consumption - EJ,Hydro Consumption - EJ,Nuclear Consumption - EJ,Wind Consumption - EJ,Geo Biomass Other - EJ,Biofuels (TWh),Access to clean fuels and technologies for cooking  (% of population),Annual change primary energy consumption (%),Annual CO2 emissions per unit energy (kg per kilowatt-hour),Electricity Generation (TWh),Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Energy consumption per GDP (kWh per $),Fossil fuels (% sub energy),Low-carbon energy (% sub energy),Nuclear (% sub energy),Per capita electricity (kWh),Energy consumption per capita (kWh),Primary energy consumption (TWh),Coal (% electricity),Gas (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity),Oil (% electricity),Nuclear (% electricity),Other renewables (% electricity),Fossil fuels (% electricity),Low-carbon electricity (% electricity),Nuclear (% electricity),Renewables (% electricity),Access to electricity (% of population)
0,1965,India,IND,146.9952501,2.372521898,413.4076819,0,53.24153648,0,0,0,0,,,0.2498,,,,,,,,,,0.995,91.357,8.643,0,,1234.199,616.017,,,,,,,,,,,,,
1,1966,India,IND,164.149813,2.663272131,412.4156912,0,55.5985517,0,0,0,0,,3.054,0.2513,,,,,,,,,,1.041,91.242,8.758,0,,1245.658,634.827,,,,,,,,,,,,,
2,1967,India,IND,169.3603635,3.558782847,419.2855868,0,62.21538088,0,0,0,0,,3.086,0.2441,,,,,,,,,,1.016,90.493,9.507,0,,1257.53,654.42,,,,,,,,,,,,,
3,1968,India,IND,189.7710474,3.954203163,433.8250641,0,71.80303133,0,0,0,0,,6.866,0.2492,,,,,,,,,,1.094,89.733,10.267,0,,1315.776,699.353,,,,,,,,,,,,,
4,1969,India,IND,227.9290162,4.745043796,460.8415757,0,79.72112933,2.013283833,0,0,0,,10.852,0.2291,,,,,,,,,,1.184,89.457,10.543,0.26,,1427.496,775.25,,,,,,,,,,,,,
5,1970,India,IND,226.8916287,6.328471265,436.8092262,0,84.54564486,3.633731796,0,0,0,,-2.198,0.2399,,,,,,,,,,1.135,88.37,11.63,0.479,,1365.674,758.209,,,,,,,,,,,,,
6,1971,India,IND,243.332658,6.706224115,442.8725561,0,92.73381752,2.700746605,0,0,0,,3.975,0.2437,,,,,,,,,,1.151,87.894,12.106,0.343,,1388.256,788.346,,,,,,,,,,,,,
7,1972,India,IND,262.3834671,7.355912135,467.683461,0,90.00851867,2.565709275,0,0,0,,5.283,0.2449,,,,,,,,,,1.182,88.846,11.154,0.309,,1428.353,829.997,,,,,,,,,,,,,
8,1973,India,IND,276.9592971,7.336662119,461.4497761,0,95.85195224,5.426045452,0,0,0,,2.051,0.2471,,,,,,,,,,1.122,88.043,11.957,0.641,,1424.12,847.024,,,,,,,,,,,,,
9,1974,India,IND,271.5431783,8.303975393,520.8565188,0,92.23049656,4.996381219,0,0,0,,6.01,0.2406,,,,,,,,,,1.197,89.172,10.828,0.556,,1474.911,897.931,,,,,,,,,,,,,
